Match_ID,Team,Opponent,Bat_Pos,Bat_Name,Runs_Scored,Balls,4s,6s,SR,Out/Not_Out
1879,Pakistan,England,1,Mohammad Rizwan,15,14,0,1,107.14,Out
1879,Pakistan,England,2,Babar Azam,32,28,2,0,114.28,Out
1879,Pakistan,England,3,Mohammad Haris,8,12,1,0,66.66,Out
1879,Pakistan,England,4,Shan Masood,38,28,2,1,135.71,Out
1879,Pakistan,England,5,Iftikhar Ahmed,0,6,0,0,0.0,Out
1879,Pakistan,England,6,Shadab Khan,20,14,2,0,142.85,Out
1879,Pakistan,England,7,Mohammad Nawaz,5,7,0,0,71.42,Out
1879,Pakistan,England,8,Mohammad Wasim,4,8,0,0,50.0,Out
1879,Pakistan,England,9,Shaheen Shah Afridi,5,3,1,0,166.66,Not Out
1879,Pakistan,England,10,Haris Rauf,1,1,0,0,100.0,Not Out
1879,England,Pakistan,1,Jos Buttler,26,17,3,1,152.94,Out
1879,England,Pakistan,2,Alex Hales,1,2,0,0,50.0,Out
1879,England,Pakistan,3,Phil Salt,10,9,2,0,111.11,Out
1879,England,Pakistan,4,Ben Stokes,52,49,5,1,106.12,Not Out
1879,England,Pakistan,5,Harry Brook,20,23,1,0,86.95,Out
1879,England,Pakistan,6,Moeen Ali,19,13,3,0,146.15,Out
1879,England,Pakistan,7,Liam Livingstone,1,1,0,0,100.0,Not Out
1878,India,England,1,KL Rahul,5,5,1,0,100.0,Out
1878,India,England,2,Rohit Sharma,27,28,4,0,96.42,Out
1878,India,England,3,Virat Kohli,50,40,4,1,125.0,Out
1878,India,England,4,Suryakumar Yadav,14,10,1,1,140.0,Out
1878,India,England,5,Hardik Pandya,63,33,4,5,190.9,Out
1878,India,England,6,Rishabh Pant,6,4,1,0,150.0,Out
1878,India,England,7,Ravichandran Ashwin,0,0,0,0,0.0,Not Out
1878,England,India,1,Jos Buttler,80,49,9,3,163.26,Not Out
1878,England,India,2,Alex Hales,86,47,4,7,182.97,Not Out
1877,New Zealand,Pakistan,1,Finn Allen,4,3,1,0,133.33,Out
1877,New Zealand,Pakistan,2,Devon Conway,21,20,3,0,105.0,Out
1877,New Zealand,Pakistan,3,Kane Williamson,46,42,1,1,109.52,Out
1877,New Zealand,Pakistan,4,Glenn Phillips,6,8,1,0,75.0,Out
1877,New Zealand,Pakistan,5,Daryl Mitchell,53,35,3,1,151.42,Not Out
1877,New Zealand,Pakistan,6,James Neesham,16,12,1,0,133.33,Not Out
1877,Pakistan,New Zealand,1,Mohammad Rizwan,57,43,5,0,132.55,Out
1877,Pakistan,New Zealand,2,Babar Azam,53,42,7,0,126.19,Out
1877,Pakistan,New Zealand,3,Mohammad Haris,30,26,2,1,115.38,Out
1877,Pakistan,New Zealand,4,Shan Masood,3,4,0,0,75.0,Not Out
1877,Pakistan,New Zealand,5,Iftikhar Ahmed,0,0,0,0,0.0,Not Out
1873,India,Zimbabwe,1,KL Rahul,51,35,3,3,145.71,Out
1873,India,Zimbabwe,2,Rohit Sharma,15,13,2,0,115.38,Out
1873,India,Zimbabwe,3,Virat Kohli,26,25,2,0,104.0,Out
1873,India,Zimbabwe,4,Suryakumar Yadav,61,25,6,4,244.0,Not Out
1873,India,Zimbabwe,5,Rishabh Pant,3,5,0,0,60.0,Out
1873,India,Zimbabwe,6,Hardik Pandya,18,18,2,0,100.0,Out
1873,India,Zimbabwe,7,Axar Patel,0,0,0,0,0.0,Not Out
1873,Zimbabwe,India,1,Wessly Madhevere,0,1,0,0,0.0,Out
1873,Zimbabwe,India,2,Craig Ervine,13,15,2,0,86.66,Out
1873,Zimbabwe,India,3,Regis Chakabva,0,6,0,0,0.0,Out
1873,Zimbabwe,India,4,Sean Williams,11,18,0,1,61.11,Out
1873,Zimbabwe,India,5,Sikandar Raza,34,24,3,0,141.66,Out
1873,Zimbabwe,India,6,Tony Munyonga,5,4,1,0,125.0,Out
1873,Zimbabwe,India,7,Ryan Burl,35,22,5,1,159.09,Out
1873,Zimbabwe,India,8,Wellington Masakadza,1,7,0,0,14.28,Out
1873,Zimbabwe,India,9,Richard Ngarava,1,2,0,0,50.0,Out
1873,Zimbabwe,India,10,Tendai Chatara,4,4,1,0,100.0,Out
1873,Zimbabwe,India,11,Blessing Muzarabani,0,2,0,0,0.0,Not Out
1872,Bangladesh,Pakistan,1,Najmul Hossain Shanto,54,48,7,0,112.5,Out
1872,Bangladesh,Pakistan,2,Litton Das,10,8,0,1,125.0,Out
1872,Bangladesh,Pakistan,3,Soumya Sarkar,20,17,1,1,117.64,Out
1872,Bangladesh,Pakistan,4,Shakib Al Hasan,0,1,0,0,0.0,Out
1872,Bangladesh,Pakistan,5,Afif Hossain,24,20,3,0,120.0,Not Out
1872,Bangladesh,Pakistan,6,Mosaddek Hossain,5,11,0,0,45.45,Out
1872,Bangladesh,Pakistan,7,Nurul Hasan,0,3,0,0,0.0,Out
1872,Bangladesh,Pakistan,8,Taskin Ahmed,1,5,0,0,20.0,Out
1872,Bangladesh,Pakistan,9,Nasum Ahmed,7,6,1,0,116.66,Out
1872,Bangladesh,Pakistan,10,Mustafizur Rahman,0,1,0,0,0.0,Not Out
1872,Pakistan,Bangladesh,1,Mohammad Rizwan,32,32,2,1,100.0,Out
1872,Pakistan,Bangladesh,2,Babar Azam,25,33,2,0,75.75,Out
1872,Pakistan,Bangladesh,3,Mohammad Nawaz,4,11,0,0,36.36,Out
1872,Pakistan,Bangladesh,4,Mohammad Haris,31,18,1,2,172.22,Out
1872,Pakistan,Bangladesh,5,Shan Masood,24,14,2,0,171.42,Not Out
1872,Pakistan,Bangladesh,6,Iftikhar Ahmed,1,3,0,0,33.33,Out
1872,Pakistan,Bangladesh,7,Shadab Khan,0,0,0,0,0.0,Not Out
1871,Netherlands,South Africa,1,Stephan Myburgh,37,30,7,0,123.33,Out
1871,Netherlands,South Africa,2,Max O'Dowd,29,31,1,1,93.54,Out
1871,Netherlands,South Africa,3,Tom Cooper,35,19,2,2,184.21,Out
1871,Netherlands,South Africa,4,Colin Ackermann,41,26,3,2,157.69,Not Out
1871,Netherlands,South Africa,5,Bas de Leede,1,7,0,0,14.28,Out
1871,Netherlands,South Africa,6,Scott Edwards,12,7,2,0,171.42,Not Out
1871,South Africa,Netherlands,1,Quinton de Kock,13,13,1,1,100.0,Out
1871,South Africa,Netherlands,2,Temba Bavuma,20,20,2,0,100.0,Out
1871,South Africa,Netherlands,3,Rilee Rossouw,25,19,2,0,131.57,Out
1871,South Africa,Netherlands,4,Aiden Markram,17,13,2,0,130.76,Out
1871,South Africa,Netherlands,5,David Miller,17,17,1,0,100.0,Out
1871,South Africa,Netherlands,6,Heinrich Klaasen,21,18,0,1,116.66,Out
1871,South Africa,Netherlands,7,Wayne Parnell,0,2,0,0,0.0,Out
1871,South Africa,Netherlands,8,Keshav Maharaj,13,12,0,1,108.33,Out
1871,South Africa,Netherlands,9,Kagiso Rabada,9,8,0,0,112.5,Not Out
1871,South Africa,Netherlands,10,Anrich Nortje,4,1,1,0,400.0,Not Out
1867,Sri Lanka,England,1,Pathum Nissanka,67,45,2,5,148.88,Out
1867,Sri Lanka,England,2,Kusal Mendis,18,14,1,1,128.57,Out
1867,Sri Lanka,England,3,Dhananjaya de Silva,9,11,0,0,81.81,Out
1867,Sri Lanka,England,4,Charith Asalanka,8,9,0,0,88.88,Out
1867,Sri Lanka,England,5,Bhanuka Rajapaksa,22,22,3,0,100.0,Out
1867,Sri Lanka,England,6,Dasun Shanaka,3,8,0,0,37.5,Out
1867,Sri Lanka,England,7,Wanindu Hasaranga,9,9,1,0,100.0,Out
1867,Sri Lanka,England,8,Chamika Karunaratne,0,2,0,0,0.0,Out
1867,Sri Lanka,England,9,Maheesh Theekshana,0,0,0,0,0.0,Not Out
1867,England,Sri Lanka,1,Jos Buttler,28,23,2,1,121.73,Out
1867,England,Sri Lanka,2,Alex Hales,47,30,7,1,156.66,Out
1867,England,Sri Lanka,3,Ben Stokes,42,36,2,0,116.66,Not Out
1867,England,Sri Lanka,4,Harry Brook,4,5,0,0,80.0,Out
1867,England,Sri Lanka,5,Liam Livingstone,4,6,0,0,66.66,Out
1867,England,Sri Lanka,6,Moeen Ali,1,5,0,0,20.0,Out
1867,England,Sri Lanka,7,Sam Curran,6,11,0,0,54.54,Out
1867,England,Sri Lanka,8,Chris Woakes,5,3,1,0,166.66,Not Out
1864,Australia,Afghanistan,1,David Warner,25,18,5,0,138.88,Out
1864,Australia,Afghanistan,2,Cameron Green,3,2,0,0,150.0,Out
1864,Australia,Afghanistan,3,Mitchell Marsh,45,30,3,2,150.0,Out
1864,Australia,Afghanistan,4,Steven Smith,4,4,1,0,100.0,Out
1864,Australia,Afghanistan,5,Marcus Stoinis,25,21,0,2,119.04,Out
1864,Australia,Afghanistan,6,Glenn Maxwell,54,32,6,2,168.75,Not Out
1864,Australia,Afghanistan,7,Matthew Wade,6,8,1,0,75.0,Out
1864,Australia,Afghanistan,8,Pat Cummins,0,2,0,0,0.0,Out
1864,Australia,Afghanistan,9,Kane Richardson,1,1,0,0,100.0,Out
1864,Australia,Afghanistan,10,Adam Zampa,1,1,0,0,100.0,Not Out
1864,Afghanistan,Australia,1,Rahmanullah Gurbaz,30,17,2,2,176.47,Out
1864,Afghanistan,Australia,2,Usman Ghani,2,7,0,0,28.57,Out
1864,Afghanistan,Australia,3,Ibrahim Zadran,26,33,2,0,78.78,Out
1864,Afghanistan,Australia,4,Gulbadin Naib,39,23,3,2,169.56,Out
1864,Afghanistan,Australia,5,Mohammad Nabi,1,2,0,0,50.0,Out
1864,Afghanistan,Australia,6,Najibullah Zadran,0,2,0,0,0.0,Out
1864,Afghanistan,Australia,7,Darwish Rasooli,15,13,1,0,115.38,Out
1864,Afghanistan,Australia,8,Rashid Khan,48,23,3,4,208.69,Not Out
1864,Afghanistan,Australia,9,Naveen-ul-Haq,0,0,0,0,0.0,Not Out
1862,New Zealand,Ireland,1,Finn Allen,32,18,5,1,177.77,Out
1862,New Zealand,Ireland,2,Devon Conway,28,33,2,0,84.84,Out
1862,New Zealand,Ireland,3,Kane Williamson,61,35,5,3,174.28,Out
1862,New Zealand,Ireland,4,Glenn Phillips,17,9,2,1,188.88,Out
1862,New Zealand,Ireland,5,Daryl Mitchell,31,21,2,0,147.61,Not Out
1862,New Zealand,Ireland,6,James Neesham,0,1,0,0,0.0,Out
1862,New Zealand,Ireland,7,Mitchell Santner,0,1,0,0,0.0,Out
1862,New Zealand,Ireland,8,Tim Southee,1,2,0,0,50.0,Not Out
1862,Ireland,New Zealand,1,Paul Stirling,37,27,3,1,137.03,Out
1862,Ireland,New Zealand,2,Andy Balbirnie,30,25,0,3,120.0,Out
1862,Ireland,New Zealand,3,Lorcan Tucker,13,14,0,0,92.85,Out
1862,Ireland,New Zealand,4,Harry Tector,2,7,0,0,28.57,Out
1862,Ireland,New Zealand,5,Gareth Delany,10,8,2,0,125.0,Out
1862,Ireland,New Zealand,6,George Dockrell,23,15,3,0,153.33,Out
1862,Ireland,New Zealand,7,Curtis Campher,7,7,1,0,100.0,Out
1862,Ireland,New Zealand,8,Fionn Hand,5,3,1,0,166.66,Out
1862,Ireland,New Zealand,9,Mark Adair,4,5,0,0,80.0,Out
1862,Ireland,New Zealand,10,Barry McCarthy,6,5,0,0,120.0,Not Out
1862,Ireland,New Zealand,11,Josh Little,8,4,0,1,200.0,Not Out
1861,Pakistan,South Africa,1,Mohammad Rizwan,4,4,1,0,100.0,Out
1861,Pakistan,South Africa,2,Babar Azam,6,15,0,0,40.0,Out
1861,Pakistan,South Africa,3,Mohammad Haris,28,11,2,3,254.54,Out
1861,Pakistan,South Africa,4,Shan Masood,2,6,0,0,33.33,Out
1861,Pakistan,South Africa,5,Iftikhar Ahmed,51,35,3,2,145.71,Out
1861,Pakistan,South Africa,6,Mohammad Nawaz,28,22,4,1,127.27,Out
1861,Pakistan,South Africa,7,Shadab Khan,52,22,3,4,236.36,Out
1861,Pakistan,South Africa,8,Mohammad Wasim,0,1,0,0,0.0,Out
1861,Pakistan,South Africa,9,Naseem Shah,5,3,0,0,166.66,Not Out
1861,Pakistan,South Africa,10,Haris Rauf,3,2,0,0,150.0,Out
1861,South Africa,Pakistan,1,Temba Bavuma,36,19,4,1,189.47,Out
1861,South Africa,Pakistan,2,Quinton de Kock,0,5,0,0,0.0,Out
1861,South Africa,Pakistan,3,Rilee Rossouw,7,6,0,1,116.66,Out
1861,South Africa,Pakistan,4,Aiden Markram,20,14,4,0,142.85,Out
1861,South Africa,Pakistan,5,Heinrich Klaasen,15,9,3,0,166.66,Out
1861,South Africa,Pakistan,6,Tristan Stubbs,18,18,0,1,100.0,Out
1861,South Africa,Pakistan,7,Wayne Parnell,3,4,0,0,75.0,Out
1861,South Africa,Pakistan,8,Kagiso Rabada,1,2,0,0,50.0,Out
1861,South Africa,Pakistan,9,Anrich Nortje,1,5,0,0,20.0,Out
1861,South Africa,Pakistan,10,Lungi Ngidi,4,1,1,0,400.0,Not Out
1861,South Africa,Pakistan,11,Tabraiz Shamsi,1,1,0,0,100.0,Not Out
1860,India,Bangladesh,1,KL Rahul,50,32,3,4,156.25,Out
1860,India,Bangladesh,2,Rohit Sharma,2,8,0,0,25.0,Out
1860,India,Bangladesh,3,Virat Kohli,64,44,8,1,145.45,Not Out
1860,India,Bangladesh,4,Suryakumar Yadav,30,16,4,0,187.5,Out
1860,India,Bangladesh,5,Hardik Pandya,5,6,0,0,83.33,Out
1860,India,Bangladesh,6,Dinesh Karthik,7,5,1,0,140.0,Out
1860,India,Bangladesh,7,Axar Patel,7,6,1,0,116.66,Out
1860,India,Bangladesh,8,Ravichandran Ashwin,13,6,1,1,216.66,Not Out
1860,Bangladesh,India,1,Najmul Hossain Shanto,21,25,1,1,84.0,Out
1860,Bangladesh,India,2,Litton Das,60,27,7,3,222.22,Out
1860,Bangladesh,India,3,Shakib Al Hasan,13,12,2,0,108.33,Out
1860,Bangladesh,India,4,Afif Hossain,3,5,0,0,60.0,Out
1860,Bangladesh,India,5,Yasir Ali,1,3,0,0,33.33,Out
1860,Bangladesh,India,6,Nurul Hasan,25,14,2,1,178.57,Not Out
1860,Bangladesh,India,7,Mosaddek Hossain,6,3,0,1,200.0,Out
1860,Bangladesh,India,8,Taskin Ahmed,12,7,1,1,171.42,Not Out
1859,Zimbabwe,Netherlands,1,Wessly Madhevere,1,5,0,0,20.0,Out
1859,Zimbabwe,Netherlands,2,Craig Ervine,3,12,0,0,25.0,Out
1859,Zimbabwe,Netherlands,3,Regis Chakabva,5,16,1,0,31.25,Out
1859,Zimbabwe,Netherlands,4,Sean Williams,28,23,3,0,121.73,Out
1859,Zimbabwe,Netherlands,5,Sikandar Raza,40,24,3,3,166.66,Out
1859,Zimbabwe,Netherlands,6,Milton Shumba,2,3,0,0,66.66,Out
1859,Zimbabwe,Netherlands,7,Ryan Burl,2,7,0,0,28.57,Out
1859,Zimbabwe,Netherlands,8,Luke Jongwe,6,8,0,0,75.0,Out
1859,Zimbabwe,Netherlands,9,Richard Ngarava,9,7,0,1,128.57,Out
1859,Zimbabwe,Netherlands,10,Tendai Chatara,6,7,0,0,85.71,Not Out
1859,Zimbabwe,Netherlands,11,Blessing Muzarabani,1,4,0,0,25.0,Out
1859,Netherlands,Zimbabwe,1,Stephan Myburgh,8,7,0,1,114.28,Out
1859,Netherlands,Zimbabwe,2,Max O'Dowd,52,47,8,1,110.63,Out
1859,Netherlands,Zimbabwe,3,Tom Cooper,32,29,2,1,110.34,Out
1859,Netherlands,Zimbabwe,4,Colin Ackermann,1,5,0,0,20.0,Out
1859,Netherlands,Zimbabwe,5,Bas de Leede,12,12,2,0,100.0,Not Out
1859,Netherlands,Zimbabwe,6,Scott Edwards,5,6,1,0,83.33,Out
1859,Netherlands,Zimbabwe,7,Roelof van der Merwe,0,3,0,0,0.0,Not Out
1858,England,New Zealand,1,Jos Buttler,73,47,7,2,155.31,Out
1858,England,New Zealand,2,Alex Hales,52,40,7,1,130.0,Out
1858,England,New Zealand,3,Moeen Ali,5,6,0,0,83.33,Out
1858,England,New Zealand,4,Liam Livingstone,20,14,1,1,142.85,Out
1858,England,New Zealand,5,Harry Brook,7,3,0,1,233.33,Out
1858,England,New Zealand,6,Ben Stokes,8,7,0,0,114.28,Out
1858,England,New Zealand,7,Sam Curran,6,3,0,1,200.0,Not Out
1858,England,New Zealand,8,Dawid Malan,3,1,0,0,300.0,Not Out
1858,New Zealand,England,1,Finn Allen,16,11,0,1,145.45,Out
1858,New Zealand,England,2,Devon Conway,3,9,0,0,33.33,Out
1858,New Zealand,England,3,Kane Williamson,40,40,3,0,100.0,Out
1858,New Zealand,England,4,Glenn Phillips,62,36,4,3,172.22,Out
1858,New Zealand,England,5,James Neesham,6,3,1,0,200.0,Out
1858,New Zealand,England,6,Daryl Mitchell,3,5,0,0,60.0,Out
1858,New Zealand,England,7,Mitchell Santner,16,10,0,1,160.0,Not Out
1858,New Zealand,England,8,Ish Sodhi,6,6,0,0,100.0,Not Out
1856,Afghanistan,Sri Lanka,1,Rahmanullah Gurbaz,28,24,2,2,116.66,Out
1856,Afghanistan,Sri Lanka,2,Usman Ghani,27,27,2,1,100.0,Out
1856,Afghanistan,Sri Lanka,3,Ibrahim Zadran,22,18,1,1,122.22,Out
1856,Afghanistan,Sri Lanka,4,Najibullah Zadran,18,16,1,0,112.5,Out
1856,Afghanistan,Sri Lanka,5,Gulbadin Naib,12,14,0,0,85.71,Out
1856,Afghanistan,Sri Lanka,6,Mohammad Nabi,13,8,1,0,162.5,Out
1856,Afghanistan,Sri Lanka,7,Rashid Khan,9,8,1,0,112.5,Out
1856,Afghanistan,Sri Lanka,8,Azmatullah Omarzai,3,4,0,0,75.0,Not Out
1856,Afghanistan,Sri Lanka,9,Mujeeb Ur Rahman,1,2,0,0,50.0,Out
1856,Sri Lanka,Afghanistan,1,Pathum Nissanka,10,10,2,0,100.0,Out
1856,Sri Lanka,Afghanistan,2,Kusal Mendis,25,27,2,1,92.59,Out
1856,Sri Lanka,Afghanistan,3,Dhananjaya de Silva,66,42,6,2,157.14,Not Out
1856,Sri Lanka,Afghanistan,4,Charith Asalanka,19,18,1,0,105.55,Out
1856,Sri Lanka,Afghanistan,5,Bhanuka Rajapaksa,18,14,3,0,128.57,Out
1856,Sri Lanka,Afghanistan,6,Dasun Shanaka,0,0,0,0,0.0,Not Out
1855,Australia,Ireland,1,David Warner,3,7,0,0,42.85,Out
1855,Australia,Ireland,2,Aaron Finch,63,44,5,3,143.18,Out
1855,Australia,Ireland,3,Mitchell Marsh,28,22,2,2,127.27,Out
1855,Australia,Ireland,4,Glenn Maxwell,13,9,0,1,144.44,Out
1855,Australia,Ireland,5,Marcus Stoinis,35,25,3,1,140.0,Out
1855,Australia,Ireland,6,Tim David,15,10,2,0,150.0,Not Out
1855,Australia,Ireland,7,Matthew Wade,7,3,1,0,233.33,Not Out
1855,Ireland,Australia,1,Paul Stirling,11,7,1,1,157.14,Out
1855,Ireland,Australia,2,Andy Balbirnie,6,7,0,1,85.71,Out
1855,Ireland,Australia,3,Lorcan Tucker,71,48,9,1,147.91,Not Out
1855,Ireland,Australia,4,Harry Tector,6,4,1,0,150.0,Out
1855,Ireland,Australia,5,Curtis Campher,0,1,0,0,0.0,Out
1855,Ireland,Australia,6,George Dockrell,0,4,0,0,0.0,Out
1855,Ireland,Australia,7,Gareth Delany,14,10,2,0,140.0,Out
1855,Ireland,Australia,8,Mark Adair,11,11,1,0,100.0,Out
1855,Ireland,Australia,9,Fionn Hand,6,6,1,0,100.0,Out
1855,Ireland,Australia,10,Barry McCarthy,3,7,0,0,42.85,Out
1855,Ireland,Australia,11,Josh Little,1,5,0,0,20.0,Out
1853,India,South Africa,1,KL Rahul,9,14,0,1,64.28,Out
1853,India,South Africa,2,Rohit Sharma,15,14,1,1,107.14,Out
1853,India,South Africa,3,Virat Kohli,12,11,2,0,109.09,Out
1853,India,South Africa,4,Suryakumar Yadav,68,40,6,3,170.0,Out
1853,India,South Africa,5,Deepak Hooda,0,3,0,0,0.0,Out
1853,India,South Africa,6,Hardik Pandya,2,3,0,0,66.66,Out
1853,India,South Africa,7,Dinesh Karthik,6,15,0,0,40.0,Out
1853,India,South Africa,8,Ravichandran Ashwin,7,11,0,0,63.63,Out
1853,India,South Africa,9,Bhuvneshwar Kumar,4,6,0,0,66.66,Not Out
1853,India,South Africa,10,Mohammed Shami,0,2,0,0,0.0,Out
1853,India,South Africa,11,Arshdeep Singh,2,1,0,0,200.0,Not Out
1853,South Africa,India,1,Quinton de Kock,1,3,0,0,33.33,Out
1853,South Africa,India,2,Temba Bavuma,10,15,0,1,66.66,Out
1853,South Africa,India,3,Rilee Rossouw,0,2,0,0,0.0,Out
1853,South Africa,India,4,Aiden Markram,52,41,6,1,126.82,Out
1853,South Africa,India,5,David Miller,59,46,4,3,128.26,Not Out
1853,South Africa,India,6,Tristan Stubbs,6,6,1,0,100.0,Out
1853,South Africa,India,7,Wayne Parnell,2,5,0,0,40.0,Not Out
1852,Netherlands,Pakistan,1,Stephan Myburgh,6,11,1,0,54.54,Out
1852,Netherlands,Pakistan,2,Max O'Dowd,8,13,0,0,61.53,Out
1852,Netherlands,Pakistan,3,Bas de Leede,6,16,1,0,37.5,Out
1852,Netherlands,Pakistan,4,Tom Cooper,1,2,0,0,50.0,Out
1852,Netherlands,Pakistan,5,Colin Ackermann,27,27,2,0,100.0,Out
1852,Netherlands,Pakistan,6,Scott Edwards,15,20,1,0,75.0,Out
1852,Netherlands,Pakistan,7,Roelof van der Merwe,5,6,0,0,83.33,Out
1852,Netherlands,Pakistan,8,Tim Pringle,5,8,0,0,62.5,Out
1852,Netherlands,Pakistan,9,Logan van Beek,6,9,0,0,66.66,Not Out
1852,Netherlands,Pakistan,10,Fred Klaassen,0,1,0,0,0.0,Out
1852,Netherlands,Pakistan,11,Paul van Meekeren,7,7,0,0,100.0,Out
1852,Pakistan,Netherlands,1,Mohammad Rizwan,49,39,5,0,125.64,Out
1852,Pakistan,Netherlands,2,Babar Azam,4,5,1,0,80.0,Out
1852,Pakistan,Netherlands,3,Fakhar Zaman,20,16,3,0,125.0,Out
