Match_id,Team 1,Team 2,Winner,Margin,Ground,Match Date
1879,England,Pakistan,England,5 wickets,Melbourne,2022-11-13
1878,England,India,England,10 wickets,Adelaide,2022-11-10
1877,New Zealand,Pakistan,Pakistan,7 wickets,Sydney,2022-11-09
1873,India,Zimbabwe,India,71 runs,Melbourne,2022-11-06
1872,Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,2022-11-06
1871,Netherlands,South Africa,Netherlands,13 runs,Adelaide,2022-11-06
1867,England,Sri Lanka,England,4 wickets,Sydney,2022-11-05
1864,Australia,Afghanistan,Australia,4 runs,Adelaide,2022-11-04
1862,Ireland,New Zealand,New Zealand,35 runs,Adelaide,2022-11-04
1861,Pakistan,South Africa,Pakistan,33 runs,Sydney,2022-11-03
1860,Bangladesh,India,India,5 runs,Adelaide,2022-11-02
1859,Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,2022-11-02
1858,England,New Zealand,England,20 runs,Brisbane,2022-11-01
1856,Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,2022-11-01
1855,Australia,Ireland,Australia,42 runs,Brisbane,2022-10-31
1853,India,South Africa,South Africa,5 wickets,Perth,2022-10-30
1852,Netherlands,Pakistan,Pakistan,6 wickets,Perth,2022-10-30
1851,Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,2022-10-30
1850,New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,2022-10-29
1849,Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,2022-10-27
1848,India,Netherlands,India,56 runs,Sydney,2022-10-27
1847,Bangladesh,South Africa,South Africa,104 runs,Sydney,2022-10-27
1846,England,Ireland,Ireland,5 runs,Melbourne,2022-10-26
1845,Australia,Sri Lanka,Australia,7 wickets,Perth,2022-10-25
1844,South Africa,Zimbabwe,no result,-,Hobart,2022-10-24
1843,Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,2022-10-24
1842,India,Pakistan,India,4 wickets,Melbourne,2022-10-23
1841,Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,2022-10-23
1840,Afghanistan,England,England,5 wickets,Perth,2022-10-22
1839,Australia,New Zealand,New Zealand,89 runs,Sydney,2022-10-22
1838,Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,2022-10-21
1837,Ireland,West Indies,Ireland,9 wickets,Hobart,2022-10-21
1836,Namibia,U.A.E.,U.A.E.,7 runs,Geelong,2022-10-20
1835,Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,2022-10-20
1834,West Indies,Zimbabwe,West Indies,31 runs,Hobart,2022-10-19
1833,Ireland,Scotland,Ireland,6 wickets,Hobart,2022-10-19
1832,Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,2022-10-18
1830,Namibia,Netherlands,Netherlands,5 wickets,Geelong,2022-10-18
1828,Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,2022-10-17
1826,Scotland,West Indies,Scotland,42 runs,Hobart,2022-10-17
1825,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,2022-10-16
1823,Namibia,Sri Lanka,Namibia,55 runs,Geelong,2022-10-16
