Bat_Name,Team,Bat_Pos,No. Of Innings,Runs_Scored,4s,6s,Balls,Out,Not Out,SR,Avg
Aaron Finch,Australia,2,3,107,6,5,97,2,1,110.31,53.5
Aayan Afzal Khan,United Arab Emirates,7,2,24,1,0,28,2,0,85.71,12.0
Adam Zampa,Australia,10,2,1,0,0,3,1,1,33.33,1.0
Afif Hossain,Bangladesh,4,5,95,6,3,76,4,1,125.0,23.75
Aiden Markram,South Africa,4,4,99,13,1,79,4,0,125.32,24.75
Akeal Hosein,West Indies,8,2,24,2,0,19,1,1,126.32,24.0
Alex Hales,England,2,6,212,19,10,144,5,1,147.22,42.4
Alishan Sharafu,United Arab Emirates,4,1,4,0,0,4,1,0,100.0,4.0
Alzarri Joseph,West Indies,9,1,0,0,0,1,1,0,0.0,0.0
Andy Balbirnie,Ireland,2,7,153,10,9,123,7,0,124.39,21.857142857142858
Anrich Nortje,South Africa,9,2,5,1,0,6,1,1,83.33,5.0
Arshdeep Singh,India,11,1,2,0,0,1,0,1,200.0,inf
Aryan Lakra,United Arab Emirates,3,1,1,0,0,3,1,0,33.33,1.0
Asif Ali,Pakistan,8,1,2,0,0,3,1,0,66.67,2.0
Axar Patel,India,5,3,9,1,0,9,2,1,100.0,4.5
Azmatullah Omarzai,Afghanistan,7,2,11,1,0,10,1,1,110.0,11.0
Babar Azam,Pakistan,2,7,124,13,0,133,7,0,93.23,17.714285714285715
Barry McCarthy,Ireland,9,5,36,1,2,33,2,3,109.09,18.0
Bas de Leede,Netherlands,3,8,93,7,1,117,6,2,79.49,15.5
Basil Hameed,United Arab Emirates,5,3,31,3,2,24,2,1,129.17,15.5
Ben Stokes,England,3,5,110,7,1,104,3,2,105.77,36.666666666666664
Bernard Scholtz,Namibia,10,1,1,0,0,1,0,1,100.0,inf
Bhanuka Rajapaksa,Sri Lanka,4,7,125,14,2,105,7,0,119.05,17.857142857142858
Bhuvneshwar Kumar,India,9,1,4,0,0,6,0,1,66.67,inf
Blessing Muzarabani,Zimbabwe,10,4,2,0,0,12,1,3,16.67,2.0
Brad Evans,Zimbabwe,8,2,21,0,1,17,2,0,123.53,10.5
Brandon King,West Indies,3,2,79,9,1,63,1,1,125.4,79.0
CP Rizwan,United Arab Emirates,3,3,45,3,1,34,2,1,132.35,22.5
Calum MacLeod,Scotland,5,3,48,5,0,43,3,0,111.63,16.0
Cameron Green,Australia,2,1,3,0,0,2,1,0,150.0,3.0
Chamika Karunaratne,Sri Lanka,6,6,32,3,0,38,4,2,84.21,8.0
Charith Asalanka,Sri Lanka,3,7,131,9,2,113,5,2,115.93,26.2
Chirag Suri,United Arab Emirates,1,2,26,4,0,39,2,0,66.67,13.0
Chris Greaves,Scotland,7,2,19,2,0,18,0,2,105.56,inf
Chris Woakes,England,8,1,5,1,0,3,0,1,166.67,inf
Colin Ackermann,Netherlands,4,8,165,13,4,149,7,1,110.74,23.571428571428573
Craig Ervine,Zimbabwe,2,7,112,13,0,125,7,0,89.6,16.0
Curtis Campher,Ireland,5,6,126,12,2,77,5,1,163.64,25.2
Danushka Gunathilaka,Sri Lanka,4,1,0,0,0,1,1,0,0.0,0.0
Darwish Rasooli,Afghanistan,7,1,15,1,0,13,1,0,115.38,15.0
Daryl Mitchell,New Zealand,5,4,109,5,1,85,2,2,128.24,54.5
