,Show_Id,Title,Director,Country,Release_Date,Rating,Duration,Type,No of Episodes
0,s1,3%,,Brazil,2020-08-14,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",33.0
5,s6,46,Serdar Akar,Turkey,2017-07-01,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",20.0
11,s12,1983,,"Poland, United States",2018-11-30,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",8.0
12,s13,1994,Diego Enrique Osorno,Mexico,2019-05-17,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",8.0
23,s25,​SAINT SEIYA: Knights of the Zodiac,,Japan,2020-01-23,TV-14,2 Seasons,"Anime Series, International TV Shows",20.0
25,s27,(Un)Well,,United States,2020-08-12,TV-MA,1 Season,Reality TV,6.0
28,s30,#blackAF,,United States,2020-04-17,TV-MA,1 Season,TV Comedies,8.0
43,s46,Şubat,,Turkey,2017-01-17,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",32.0
49,s52,100 Days My Prince,,South Korea,2020-12-07,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",16.0
51,s54,100 Humans,,United States,2020-03-13,TV-14,1 Season,"Docuseries, Science & Nature TV",8.0
56,s59,100% Hotter,,United Kingdom,2019-11-01,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",39.0
59,s62,12 Years Promise,,South Korea,2017-05-22,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",26.0
61,s64,13 Reasons Why,,United States,2020-06-05,TV-MA,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",49.0
62,s65,13 Reasons Why: Beyond the Reasons,,United States,2019-08-23,TV-MA,3 Seasons,"Crime TV Shows, Docuseries",3.0
77,s81,20 Minutes,,Turkey,2017-08-15,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",25.0
82,s86,21 Again,,United Kingdom,2020-07-01,TV-MA,1 Season,"British TV Shows, Reality TV",4.0
83,s87,21 Sarfarosh: Saragarhi 1897,,India,2018-12-01,TV-14,1 Season,"International TV Shows, TV Dramas",20.0
84,s88,21 Thunder,,Canada,2018-03-01,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",8.0
92,s96,28 Moons,,South Korea,2017-06-10,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",8.0
104,s109,3Below: Tales of Arcadia,,United States,2019-07-12,TV-Y7,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",27.0
107,s112,44 Cats,,Italy,2020-10-01,TV-Y7,2 Seasons,Kids' TV,106.0
108,s113,45 rpm,,Spain,2019-08-16,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",13.0
125,s131,60 Days In,,United States,2020-11-01,TV-MA,1 Season,Reality TV,128.0
127,s133,7 (Seven),Nizar Shafi,India,2019-07-30,TV-14,1 Season,TV Shows,20.0
129,s135,7 Days Out,,United States,2018-12-21,TV-PG,1 Season,Docuseries,6.0
132,s138,72 Cutest Animals,,Australia,2016-06-01,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV",12.0
133,s139,72 Dangerous Animals: Asia,,Australia,2018-08-10,TV-14,1 Season,"Docuseries, International TV Shows, Science & Nature TV",12.0
134,s140,72 Dangerous Animals: Latin America,,"Australia, United States",2017-12-22,TV-14,1 Season,"Docuseries, International TV Shows, Science & Nature TV",12.0
135,s141,72 Dangerous Places to Live,,Australia,2016-06-01,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV",6.0
136,s143,9 Months That Made You,,United States,2017-03-01,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",3.0
146,s153,A Boy Name Flora A,,Taiwan,2017-09-01,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",20.0
172,s181,A Good Wife,,Taiwan,2017-01-01,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",20.0
