Restaurant ID,Restaurant Name,City,Cuisines,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating text,Votes,Country Name,Avg. Cost For two($)
6317637,Le Petit Souffle,Makati City,"French, Japanese, Desserts",Yes,No,No,No,3,4.8,Excellent,314,Phillipines,80.05
6304287,Izakaya Kikufuji,Makati City,Japanese,Yes,No,No,No,3,4.5,Excellent,591,Phillipines,87.32
6300002,Heat - Edsa Shangri-La,Mandaluyong City,"Seafood, Asian, Filipino, Indian",Yes,No,No,No,4,4.4,Very Good,270,Phillipines,291.08
6318506,Ooma,Mandaluyong City,"Japanese, Sushi",No,No,No,No,4,4.9,Excellent,365,Phillipines,109.15
6314302,Sambo Kojin,Mandaluyong City,"Japanese, Korean",Yes,No,No,No,4,4.8,Excellent,229,Phillipines,109.15
18189371,Din Tai Fung,Mandaluyong City,Chinese,No,No,No,No,3,4.4,Very Good,336,Phillipines,72.77
6300781,Buffet 101,Pasay City,"Asian, European",Yes,No,No,No,4,4.0,Very Good,520,Phillipines,145.54
6301290,Vikings,Pasay City,"Seafood, Filipino, Asian, European",Yes,No,No,No,4,4.2,Very Good,677,Phillipines,145.54
6300010,Spiral - Sofitel Philippine Plaza Manila,Pasay City,"European, Asian, Indian",Yes,No,No,No,4,4.9,Excellent,621,Phillipines,436.62
6314987,Locavore,Pasig City,Filipino,Yes,No,No,No,3,4.8,Excellent,532,Phillipines,80.05
6309903,Silantro Fil-Mex,Pasig City,"Filipino, Mexican",No,No,No,No,3,4.9,Excellent,1070,Phillipines,58.22
6309455,Mad Mark's Creamery & Good Eats,Pasig City,"American, Ice Cream, Desserts",Yes,No,No,No,3,4.2,Very Good,488,Phillipines,65.49
6318433,Silantro Fil-Mex,Quezon City,"Filipino, Mexican",No,No,No,No,3,4.8,Excellent,294,Phillipines,58.22
6310470,Guevarra's,San Juan City,Filipino,Yes,No,No,No,3,4.2,Very Good,458,Phillipines,72.77
6314605,Sodam Korean Restaurant,San Juan City,Korean,No,No,No,No,3,4.3,Very Good,223,Phillipines,50.94
18185059,Cafe Arabelle,Santa Rosa,"Cafe, American, Italian, Filipino",No,No,No,No,3,3.6,Good,29,Phillipines,58.22
18182702,Nonna's Pasta & Pizzeria,Santa Rosa,"Italian, Pizza",No,No,No,No,3,4.0,Very Good,72,Phillipines,61.85
6318213,Balay Dako,Tagaytay City,Filipino,Yes,No,No,No,3,4.5,Excellent,211,Phillipines,87.32
18255654,Hobing Korean Dessert Cafe,Taguig City,"Cafe, Korean, Desserts",No,No,No,No,2,4.5,Excellent,118,Phillipines,43.66
6308205,Wildflour Cafe + Bakery,Taguig City,"Cafe, Bakery, American, Italian",Yes,No,No,No,4,4.4,Very Good,392,Phillipines,109.15
6315438,NIU by Vikings,Taguig City,"Seafood, American, Mediterranean, Japanese",Yes,No,No,No,4,4.7,Excellent,535,Phillipines,218.31
6310406,The Food Hall by Todd English,Taguig City,"American, Asian, Italian, Seafood",Yes,No,No,No,4,4.5,Excellent,618,Phillipines,130.98
6600681,Chez Michou,Bras_lia,"Fast Food, French",No,No,No,No,2,3.0,Average,6,Brazil,25.25
6601005,Caf Daniel Briand,Bras_lia,Cafe,No,No,No,No,1,3.8,Good,9,Brazil,13.77
6600292,Casa do Biscoito Mineiro,Bras_lia,Bakery,No,No,No,No,2,3.7,Good,11,Brazil,20.66
6600441,Maori,Bras_lia,Brazilian,No,No,No,No,3,3.8,Good,11,Brazil,27.54
6600970,Pizza  Bessa,Bras_lia,Pizza,No,No,No,No,2,3.2,Average,11,Brazil,22.95
6600379,Sushi Loko,Bras_lia,Japanese,No,No,No,No,3,3.1,Average,10,Brazil,36.72
6600214,Beirute,Bras_lia,Arabian,No,No,No,No,3,3.7,Good,8,Brazil,41.31
6601218,New Koto,Bras_lia,Japanese,No,No,No,No,4,3.7,Good,5,Brazil,91.8
6600060,Sandubas Caf,Bras_lia,"Brazilian, Cafe",No,No,No,No,1,0.0,Not rated,2,Brazil,13.77
6600083,Villa Tevere,Bras_lia,Italian,No,No,No,No,4,4.1,Very Good,12,Brazil,68.85
6601515,Rovereto,Bras_lia,Pizza,No,No,No,No,4,3.1,Average,9,Brazil,45.9
6601361,Buena Carne,Bras_lia,"Bar Food, Brazilian",No,No,No,No,3,3.6,Good,9,Brazil,27.54
6601602,Taco Pep,Bras_lia,"Mexican, Grill",No,No,No,No,4,4.3,Very Good,29,Brazil,45.9
6601589,Coco Bambu,Bras_lia,International,No,No,No,No,4,4.2,Very Good,17,Brazil,105.57
6601862,Tayp,Bras_lia,"Peruvian, Latin American",No,No,No,No,4,3.6,Good,5,Brazil,45.9
6601595,Outback Steakhouse,Bras_lia,"American, Grill",No,No,No,No,4,4.0,Very Good,10,Brazil,68.85
6601158,Manzu,Bras_lia,Seafood,No,No,No,No,4,3.2,Average,6,Brazil,110.16
6600427,Coco Bambu,Bras_lia,International,No,No,No,No,4,4.9,Excellent,30,Brazil,105.57
6600116,Gero,Bras_lia,Italian,No,No,No,No,4,3.3,Average,8,Brazil,160.65
6601457,Brazilian American Burgers,Bras_lia,"American, Burger",No,No,No,No,2,3.6,Good,9,Brazil,22.95
7303219,Pesqueiro Eco Gourmet,Rio de Janeiro,"Seafood, Bar Food, Brazilian",No,No,No,No,4,4.0,Very Good,7,Brazil,64.26
7304307,Confeitaria Colombo,Rio de Janeiro,"Desserts, Cafe",No,No,No,No,4,4.8,Excellent,29,Brazil,45.9
7301215,Bibi,Rio de Janeiro,"Juices, Healthy Food",No,No,No,No,3,4.7,Excellent,24,Brazil,27.54
7300596,Cervantes,Rio de Janeiro,"Beverages, Bar Food, Fast Food",No,No,No,No,3,4.5,Excellent,29,Brazil,41.31
7300612,Amir,Rio de Janeiro,Lebanese,No,No,No,No,4,4.2,Very Good,11,Brazil,78.03
7300704,TT Burger,Rio de Janeiro,Burger,No,No,No,No,3,4.8,Excellent,19,Brazil,27.54
7300955,Braseiro da Gvea,Rio de Janeiro,"Brazilian, Bar Food",No,No,No,No,4,4.9,Excellent,40,Brazil,45.9
7300521,Balada Mix,Rio de Janeiro,"Brazilian, Healthy Food, Juices, Pizza",No,No,No,No,3,4.6,Excellent,21,Brazil,41.31
7300515,Garota de Ipanema,Rio de Janeiro,"Brazilian, Bar Food",No,No,No,No,4,4.9,Excellent,49,Brazil,55.08
7300483,Zaz Bistr Tropical,Rio de Janeiro,Brazilian,No,No,No,No,4,4.6,Excellent,21,Brazil,78.03
7301064,Fil de Ouro,Rio de Janeiro,Brazilian,No,No,No,No,3,4.3,Very Good,14,Brazil,41.31
7304312,D.O.C Ristorante,Rio de Janeiro,Italian,No,No,No,No,4,4.0,Very Good,5,Brazil,68.85
7300004,Sushi Leblon,Rio de Janeiro,Japanese,No,No,No,No,4,4.6,Excellent,25,Brazil,114.75
7300868,Talho Capixaba,Rio de Janeiro,"Bakery, Sandwich, Brazilian",No,No,No,No,4,4.4,Very Good,13,Brazil,55.08
7302637,Leme Light,Rio de Janeiro,Brazilian,No,No,No,No,2,4.2,Very Good,7,Brazil,18.36
7302140,Shirley,Rio de Janeiro,"Brazilian, Seafood",No,No,No,No,4,4.2,Very Good,8,Brazil,114.75
7305048,Quiosque Chopp Brahma,Rio de Janeiro,"Bar Food, Brazilian",No,No,No,No,3,0.0,Not rated,1,Brazil,32.13
7302898,Apraz_vel,Rio de Janeiro,Brazilian,No,No,No,No,4,4.7,Excellent,44,Brazil,137.7
7302859,Aconchego Carioca,Rio de Janeiro,"Brazilian, Bar Food",No,No,No,No,3,4.6,Excellent,24,Brazil,39.02
7301700,Garota de Ipanema,Rio de Janeiro,"Brazilian, Bar Food",No,No,No,No,3,4.3,Very Good,10,Brazil,36.72
6706313,Cantina Famiglia Mancini,So Paulo,"Italian, Pizza",No,No,No,No,4,4.5,Excellent,49,Brazil,114.75
6704326,Templo da Carne - Marcos Bassi,So Paulo,"Steak, BBQ",No,No,No,No,4,4.4,Very Good,17,Brazil,114.75
6711179,Gopala Hari,So Paulo,Indian,No,No,No,No,3,3.1,Average,5,Brazil,32.13
6702797,Jiquitaia,So Paulo,Brazilian,No,No,No,No,4,4.1,Very Good,15,Brazil,45.9
6700475,Skye - Hotel Unique,So Paulo,"Beverages, International",No,No,No,No,4,4.8,Excellent,59,Brazil,137.7
6713413,Les 3 Brasseurs,So Paulo,"French, Brazilian, Beverages",No,No,No,No,4,4.6,Excellent,30,Brazil,55.08
6714340,Red Steak & Burger,So Paulo,"Brazilian, Grill",No,No,No,No,3,3.9,Good,5,Brazil,34.43
6710645,Cantinho da Gula,So Paulo,Brazilian,No,No,No,No,2,0.0,Not rated,0,Brazil,25.25
6700402,Paris 6 Classique,So Paulo,French,No,No,No,No,4,3.4,Average,73,Brazil,91.8
6700846,Kawa Sushi,So Paulo,"Sushi, Japanese",No,No,No,No,4,3.5,Good,9,Brazil,55.08
6702159,A Figueira Rubaiyat,So Paulo,"BBQ, Grill, Brazilian",No,No,No,No,4,4.3,Very Good,39,Brazil,137.7
6711666,Kinoshita,So Paulo,Sushi,No,No,No,No,4,3.9,Good,12,Brazil,105.57
6701257,Meats,So Paulo,"Gourmet Fast Food, Burger",No,No,No,No,4,4.3,Very Good,68,Brazil,55.08
6706211,Paribar,So Paulo,"Brazilian, Italian",No,No,No,No,4,4.3,Very Good,46,Brazil,68.85
6705858,Terra_o Itlia,So Paulo,Italian,No,No,No,No,4,4.4,Very Good,37,Brazil,183.6
6701419,Divino Fogo,So Paulo,"Brazilian, Mineira",No,No,No,No,3,0.0,Not rated,2,Brazil,29.84
6703956,Super Grill,So Paulo,Brazilian,No,No,No,No,2,0.0,Not rated,2,Brazil,22.95
6709580,Esquina Mocot_,So Paulo,"Brazilian, North Eastern",No,No,No,No,4,4.4,Very Good,22,Brazil,45.9
6703176,Veloso,So Paulo,"Brazilian, Bar Food, Beverages",No,No,No,No,3,4.6,Excellent,58,Brazil,32.13
6713772,Sainte Marie Gastronomia,So Paulo,"Lebanese, Arabian",No,No,No,No,4,4.1,Very Good,11,Brazil,55.08
17284404,Austin's BBQ and Oyster Bar,Albany,"BBQ, Burger, Seafood",No,No,No,No,2,3.3,Average,35,United States,25.0
17284203,BJ's Country Buffet,Albany,"American, BBQ",No,No,No,No,1,3.3,Average,25,United States,10.0
17284105,Cookie Shoppe,Albany,,No,No,No,No,1,3.4,Average,34,United States,0.0
17284302,El Vaquero Mexican Restaurant,Albany,Mexican,No,No,No,No,1,3.4,Average,45,United States,0.0
17284397,Elements Coffee Co - Northwest,Albany,"Coffee and Tea, Sandwich",No,No,No,No,1,3.4,Average,26,United States,10.0
17284211,Pearly's Famous Country Cookng,Albany,,No,No,No,No,1,3.4,Average,36,United States,0.0
17284094,Chick-fil-A,Albany,Fast Food,No,No,No,No,1,3.5,Good,67,United States,10.0
17284409,Guang Zhou Chinese Restaurant,Albany,"Asian, Chinese, Vegetarian",No,No,No,No,1,3.9,Good,141,United States,10.0
17284139,Harvest Moon,Albany,"Pizza, Bar Food, Sandwich",No,No,No,No,2,3.7,Good,147,United States,25.0
17284403,Henry Campbell's Steakhouse,Albany,"Steak, Tapas, Bar Food",No,No,No,No,4,3.5,Good,51,United States,70.0
17284145,Hong Kong Cafe,Albany,"Chinese, Seafood, Vegetarian",No,No,No,No,2,3.6,Good,88,United States,25.0
17284150,House of China Restaurant II,Albany,Chinese,No,No,No,No,1,3.8,Good,153,United States,10.0
17284158,Jimmie's Hot Dogs,Albany,,No,No,No,No,1,3.9,Good,160,United States,10.0
17284175,Locos Grill & Pub,Albany,"American, Burger, Sandwich",No,No,No,No,2,3.5,Good,57,United States,25.0
17284179,Longhorn Steakhouse,Albany,"American, Steak",No,No,No,No,2,3.5,Good,58,United States,25.0
17284197,Mikata Japanese Steakhouse,Albany,"Japanese, Steak, Sushi",No,No,No,No,3,3.6,Good,115,United States,40.0
17284241,Shogun Japanese Steak House,Albany,"Japanese, Steak, Sushi",No,No,No,No,3,3.5,Good,51,United States,40.0
17284390,The Catch Seafood Room & Oyster Bar,Albany,"Seafood, Tapas, Bar Food",No,No,No,No,3,3.8,Good,250,United States,40.0
17284279,Villa Gargano,Albany,"Italian, Pizza",No,No,No,No,1,3.7,Good,117,United States,10.0
17284364,3 Squares Diner,Albany,"American, Breakfast, Diner",No,No,No,No,1,3.4,Average,20,United States,10.0
16611114,Whitebull Hotel,Armidale,"Bar Food, Steak",No,No,No,No,2,3.5,Good,25,Australia,20.0
17293281,Last Resort Grill,Athens,"American, Southern, Southwestern",No,No,No,No,3,4.5,Excellent,1821,United States,40.0
17293301,Mama's Boy Restaurant,Athens,Southern,No,No,No,No,1,4.5,Excellent,849,United States,10.0
17293409,Sr. Sol 1,Athens,Mexican,No,No,No,No,1,4.6,Excellent,917,United States,10.0
17293163,Choo Choo Eastside,Athens,"Japanese, Korean",No,No,No,No,1,3.9,Good,439,United States,10.0
17293228,The Grill,Athens,"Breakfast, Burger, Sandwich",No,No,No,No,1,3.7,Good,289,United States,10.0
17293880,Big City Bread Cafe,Athens,"Breakfast, Sandwich",No,No,No,No,1,4.3,Very Good,558,United States,10.0
17293169,Clocked,Athens,"American, Burger, Sandwich",No,No,No,No,1,4.2,Very Good,613,United States,10.0
17293186,DePalma's Italian Cafe - Downtown,Athens,"American, Italian, Pizza",No,No,No,No,2,4.0,Very Good,353,United States,25.0
